date,open,high,low,close,year,month,day,day_name
2005-01-17,1.3113,1.3129,1.301,1.3035,2005.0,1.0,17.0,Monday
2005-01-18,1.3033,1.3076,1.2997,1.3027,2005.0,1.0,18.0,Tuesday
2005-01-19,1.3028,1.3119,1.2965,1.301,2005.0,1.0,19.0,Wednesday
2005-01-20,1.3011,1.3027,1.2924,1.2956,2005.0,1.0,20.0,Thursday
2005-01-21,1.2957,1.3069,1.2945,1.3048,2005.0,1.0,21.0,Friday
2005-01-24,1.3049,1.31,1.3007,1.3023,2005.0,1.0,24.0,Monday
2005-01-25,1.3024,1.3076,1.2947,1.2988,2005.0,1.0,25.0,Tuesday
2005-01-26,1.2987,1.3109,1.2971,1.3077,2005.0,1.0,26.0,Wednesday
2005-01-27,1.3076,1.3125,1.3013,1.3027,2005.0,1.0,27.0,Thursday
2005-01-28,1.3028,1.3081,1.2988,1.3027,2005.0,1.0,28.0,Friday
2005-01-31,1.3028,1.3061,1.2977,1.3052,2005.0,1.0,31.0,Monday
2005-02-01,1.3051,1.3089,1.3004,1.308,2005.0,2.0,1.0,Tuesday
2005-02-02,1.3081,1.3094,1.3012,1.3021,2005.0,2.0,2.0,Wednesday
2005-02-03,1.3022,1.3038,1.2944,1.2971,2005.0,2.0,3.0,Thursday
2005-02-04,1.297,1.3045,1.2828,1.2829,2005.0,2.0,4.0,Friday
2005-02-07,1.2830000000000001,1.2866,1.2734,1.2763,2005.0,2.0,7.0,Monday
2005-02-08,1.2762,1.2799,1.2735,1.2759,2005.0,2.0,8.0,Tuesday
2005-02-09,1.276,1.2824,1.2741,1.2814,2005.0,2.0,9.0,Wednesday
2005-02-10,1.2815,1.2908,1.274,1.2878,2005.0,2.0,10.0,Thursday
2005-02-11,1.2879,1.2957,1.2848,1.2935,2005.0,2.0,11.0,Friday
2005-02-14,1.2936,1.2991,1.2928,1.2957,2005.0,2.0,14.0,Monday
2005-02-15,1.2958,1.3054,1.2954,1.3022,2005.0,2.0,15.0,Tuesday
2005-02-16,1.3021,1.3065,1.2961,1.3047,2005.0,2.0,16.0,Wednesday
